aX,aY,aZ,gX,gY,gZ
-0.03,0.85,0.48,0.14,1.260.42,
-0.03,0.85,0.48,0,0.560.56,
-0.03,0.85,0.48,0.07,0.070.42,
-0.02,0.85,0.48,0.21,-0.350.21,
-0.01,0.85,0.48,0.28,-0.630.35,
-0.01,0.85,0.49,0.77,-18.76,
0,0.86,0.49,0.98,-1.120.28,
-0.01,0.87,0.49,1.19,-1.260.56,
-0.01,0.87,0.49,1.05,-1.400.07,
-0.01,0.87,0.49,0.42,-1.470.42,
-0.01,0.86,0.48,0.21,-1.330.63,
-0.01,0.86,0.48,0.21,-0.980.49,
-0.01,0.85,0.48,0,-0.910.49,
-0.01,0.84,0.48,0.21,-0.421.05,
-0.01,0.84,0.48,0.7,0.630.21,
-0.01,0.85,0.48,0.98,1.050.00,
0,0.85,0.48,0.98,1.40-0.21,
0,0.85,0.48,0.98,1.61-0.77,
-0.01,0.86,0.48,0.77,1.40-0.91,
-0.02,0.86,0.48,0.77,0.77-1.19,
-0.02,0.85,0.47,0.42,-1.47,
-0.02,0.85,0.48,0.56,-1.54,
-0.02,0.85,0.49,0.56,-1.89,
-0.01,0.85,0.49,0.7,0.14-1.05,
0,0.85,0.5,0.84,0.98-0.91,
0.01,0.86,0.51,1.26,2.24-0.63,
0.01,0.86,0.51,1.82,3.43-0.14,
0,0.87,0.5,2.31,4.130.42,
-0.01,0.88,0.49,2.38,3.990.35,
-0.01,0.88,0.49,2.38,4.130.56,
-0.03,0.87,0.48,2.45,3.641.12,
-0.04,0.86,0.49,2.66,3.430.91,
-0.03,0.85,0.49,2.59,3.430.84,
-0.03,0.85,0.49,2.73,3.430.42,
-0.03,0.84,0.49,2.73,3.990.00,
-0.03,0.84,0.49,2.73,4.270.14,
-0.03,0.84,0.49,2.8,4.62-0.35,
-0.04,0.85,0.49,2.8,5.11-0.07,
-0.04,0.86,0.49,2.66,5.25-0.21,
-0.05,0.86,0.48,2.38,5.460.14,
-0.05,0.85,0.48,2.1,5.320.28,
-0.04,0.85,0.49,2.17,5.040.28,
-0.04,0.85,0.49,2.1,5.040.63,
-0.03,0.85,0.49,2.1,5.040.70,
-0.03,0.85,0.5,2.24,5.040.70,
-0.03,0.85,0.5,2.31,5.04-0.07,
-0.03,0.86,0.5,2.03,4.830.21,
-0.03,0.86,0.5,1.89,4.410.21,
-0.03,0.85,0.5,1.75,4.270.35,
-0.03,0.85,0.49,1.68,4.060.98,
-0.02,0.86,0.5,1.54,4.131.47,
-0.03,0.86,0.5,1.54,4.061.82,
-0.03,0.86,0.5,1.4,3.922.38,
-0.03,0.86,0.5,1.12,4.132.73,
-0.03,0.86,0.5,0.91,4.272.73,
-0.03,0.86,0.49,0.7,4.483.08,
-0.03,0.86,0.49,0.63,4.902.80,
-0.03,0.86,0.49,0.49,5.532.87,
-0.03,0.85,0.49,0.21,6.092.94,
-0.02,0.85,0.48,-0.21,6.722.94,
-0.03,0.84,0.48,-0.42,7.003.36,
-0.03,0.85,0.49,-0.49,7.213.29,
-0.03,0.85,0.49,-0.42,7.213.43,
-0.04,0.86,0.49,-0.28,6.793.22,
-0.04,0.86,0.49,-0.14,6.513.08,
-0.03,0.86,0.48,-0.07,6.443.01,
-0.03,0.85,0.48,0.14,6.162.66,
-0.03,0.85,0.48,0.35,6.022.66,
-0.03,0.85,0.48,0.56,6.162.87,
-0.03,0.85,0.48,0.7,6.232.87,
-0.03,0.86,0.48,1.05,6.162.87,
-0.04,0.87,0.48,0.7,6.162.80,
-0.04,0.87,0.47,0.56,6.232.87,
-0.04,0.87,0.47,0.21,6.303.08,
-0.05,0.87,0.47,-0.07,6.302.66,
-0.05,0.86,0.47,0.07,5.882.66,
-0.05,0.86,0.48,0.49,5.392.31,
-0.05,0.86,0.48,0.7,5.181.75,
-0.05,0.85,0.48,0.91,5.041.75,
-0.04,0.86,0.49,1.05,4.411.12,
-0.04,0.86,0.49,1.05,4.200.84,
-0.04,0.86,0.48,0.91,3.710.98,
-0.04,0.86,0.48,0.49,3.360.42,
-0.04,0.86,0.48,0.35,2.870.91,
-0.04,0.87,0.48,0.07,2.800.35,
-0.04,0.87,0.47,-0.42,2.660.28,
-0.04,0.87,0.47,-0.77,2.730.14,
-0.04,0.87,0.47,-1.19,2.590.49,
-0.05,0.86,0.47,-1.26,2.380.49,
-0.05,0.85,0.47,-0.91,2.030.77,
-0.06,0.85,0.47,-0.49,1.540.91,
-0.06,0.86,0.47,-0.35,0.420.49,
-0.06,0.85,0.47,-0.21,-1.050.77,
-0.06,0.85,0.47,0,-2.030.49,
-0.06,0.85,0.47,0.14,-2.940.70,
-0.06,0.85,0.47,0.35,-3.500.42,
-0.05,0.84,0.47,0.28,-3.710.35,
-0.04,0.85,0.48,0.21,-3.360.07,
-0.04,0.86,0.48,0.28,-3.01,
-0.03,0.86,0.49,0.21,-2.240.00,
-0.03,0.86,0.49,0.21,-1.75,
-0.03,0.86,0.49,0.14,-1.54,
-0.03,0.86,0.49,0,-1.19,
-0.03,0.86,0.5,-0.14,-0.4217.85,
-0.03,0.86,0.49,-0.21,-0.21,
-0.03,0.85,0.49,-0.28,0.21-0.14,
-0.03,0.85,0.49,-0.07,0.49-0.21,
-0.03,0.85,0.49,0.21,0.70-0.35,
-0.03,0.85,0.48,0.63,0.63-0.28,
-0.03,0.85,0.48,0.91,0.770.00,
-0.04,0.85,0.49,1.47,0.98-0.14,
-0.04,0.85,0.49,1.75,1.190.14,
-0.04,0.85,0.49,1.89,1.40-0.07,
-0.04,0.85,0.49,1.89,1.610.00,
-0.04,0.85,0.49,2.17,1.75-0.21,
-0.05,0.85,0.49,2.03,1.82-0.07,
-0.04,0.86,0.49,1.75,1.54-0.07,
-0.05,0.86,0.49,1.68,1.47-0.14,
-0.04,0.86,0.49,1.33,1.260.35,
-0.05,0.86,0.49,0.91,1.610.42,
-0.05,0.86,0.49,0.56,1.260.70,
-0.05,0.86,0.48,0.7,1.190.42,
-0.06,0.85,0.48,0.91,0.700.70,
-0.06,0.85,0.48,0.98,0.420.49,
-0.06,0.85,0.48,0.98,0.140.70,
-0.06,0.85,0.48,1.05,-0.140.70,
-0.06,0.85,0.48,0.98,-0.210.77,
-0.07,0.85,0.48,0.91,-0.140.70,
-0.06,0.86,0.48,0.49,-0.141.05,
-0.06,0.86,0.48,0.28,-0.211.40,
-0.06,0.86,0.48,0.35,-0.141.54,
-0.06,0.86,0.48,0.35,-0.281.47,
-0.06,0.85,0.48,0.49,-0.281.05,
-0.06,0.85,0.49,1.12,-0.490.98,
-0.06,0.85,0.49,1.61,-0.700.63,
-0.06,0.85,0.49,1.75,-0.840.28,
-0.06,0.85,0.49,2.1,-1.47,
-0.06,0.85,0.49,2.17,-2.24,
-0.06,0.85,0.49,2.17,-2.24,
-0.06,0.86,0.49,2.03,-2.17,
-0.05,0.85,0.49,1.61,-2.03,
-0.05,0.86,0.49,1.47,-1.33,
-0.05,0.86,0.49,1.33,-0.49,
-0.05,0.86,0.49,1.33,0.070.28,
-0.06,0.85,0.49,1.47,0.070.21,
-0.06,0.85,0.49,1.54,0.420.63,
-0.06,0.85,0.49,2.1,0.700.77,
-0.06,0.85,0.49,2.31,0.910.63,
-0.06,0.85,0.5,2.52,1.050.91,
-0.07,0.86,0.5,2.59,1.050.42,
-0.06,0.86,0.5,2.38,0.840.91,
-0.07,0.86,0.49,2.24,0.841.26,
-0.06,0.86,0.49,1.96,0.491.19,
-0.07,0.86,0.49,1.54,0.421.12,
-0.07,0.85,0.49,1.19,0.141.68,
-0.07,0.85,0.48,0.91,0.001.54,
-0.07,0.85,0.48,0.49,-0.141.26,
-0.07,0.85,0.49,0.56,-0.561.19,
-0.07,0.85,0.49,0.7,-0.840.42,
-0.07,0.85,0.49,1.12,-1.120.07,
-0.06,0.85,0.49,1.26,-1.19,
-0.06,0.85,0.49,1.33,-1.190.00,
-0.06,0.85,0.49,1.33,-1.120.14,
-0.05,0.86,0.48,1.12,-1.120.70,
-0.05,0.86,0.48,0.91,-1.120.70,
-0.05,0.86,0.48,0.84,-1.051.33,
-0.05,0.85,0.48,0.98,-0.841.89,
-0.05,0.86,0.48,0.98,-0.352.10,
-0.05,0.86,0.48,1.47,-0.281.75,
-0.06,0.86,0.48,1.54,-0.071.68,
-0.06,0.86,0.48,1.82,-0.421.61,
-0.06,0.86,0.48,1.89,-0.701.47,
-0.06,0.86,0.48,1.89,-0.771.19,
-0.06,0.86,0.48,1.54,-1.121.40,
-0.05,0.86,0.48,1.4,-1.191.47,
-0.05,0.86,0.48,1.26,-0.981.40,
-0.05,0.86,0.48,1.4,-0.841.33,
-0.06,0.86,0.48,1.26,-0.630.91,
-0.06,0.86,0.48,1.4,-0.561.26,
-0.06,0.86,0.48,1.47,-0.491.05,
-0.06,0.86,0.47,1.26,-0.210.98,
-0.06,0.86,0.47,1.4,-0.350.84,
-0.06,0.86,0.47,1.4,-0.140.91,
-0.06,0.86,0.47,1.47,-0.420.84,
-0.05,0.86,0.47,1.4,-0.420.98,
-0.05,0.86,0.47,1.47,-0.491.26,
-0.05,0.86,0.47,1.4,-0.491.40,
-0.06,0.86,0.47,1.54,-0.841.05,
-0.06,0.86,0.47,1.47,-1.051.68,
-0.06,0.86,0.47,1.68,-1.401.54,
-0.06,0.86,0.47,1.75,-1.751.61,
-0.06,0.86,0.48,1.82,-2.031.40,
-0.06,0.86,0.47,1.82,-2.241.19,
-0.05,0.86,0.48,1.82,-2.381.05,
-0.05,0.86,0.48,1.68,-2.311.26,
-0.05,0.87,0.48,1.47,-2.030.91,
-0.05,0.87,0.48,1.26,-1.960.77,
-0.04,0.87,0.48,0.98,-1.821.33,
-0.04,0.86,0.48,0.91,-1.541.26,
-0.04,0.86,0.48,1.12,-1.261.12,
-0.04,0.86,0.48,1.05,-0.911.68,
-0.04,0.86,0.48,1.33,-0.771.75,
-0.04,0.86,0.48,1.61,-0.491.12,
-0.04,0.86,0.48,1.61,-0.211.75,
-0.04,0.86,0.48,1.61,-0.071.61,
-0.05,0.86,0.48,1.54,-0.141.47,
-0.04,0.87,0.48,1.4,-0.491.54,
-0.05,0.87,0.48,1.47,-0.701.26,
-0.05,0.86,0.48,1.26,-0.840.63,
-0.05,0.86,0.48,1.05,-1.121.19,
-0.05,0.86,0.48,0.91,-1.051.26,
-0.05,0.86,0.48,0.63,-1.051.40,
-0.05,0.86,0.48,0.49,-1.051.54,
-0.05,0.86,0.48,0.42,-0.701.68,
-0.04,0.86,0.48,0.56,-0.281.47,
-0.04,0.86,0.48,0.77,-0.141.61,
-0.04,0.86,0.48,0.98,0.141.68,
-0.04,0.86,0.48,1.05,0.421.26,
-0.04,0.86,0.48,0.91,0.631.47,
-0.04,0.86,0.47,0.84,0.771.54,
-0.04,0.86,0.47,0.84,0.701.82,
-0.05,0.86,0.48,0.77,0.912.73,
-0.05,0.87,0.48,0.77,0.702.03,
-0.05,0.86,0.48,0.7,0.562.38,
-0.05,0.86,0.48,0.63,0.422.59,
-0.05,0.85,0.48,0.7,0.072.38,
-0.05,0.85,0.48,0.98,-0.352.17,
-0.05,0.85,0.48,0.91,-0.772.17,
-0.05,0.85,0.48,1.12,-1.261.96,
-0.05,0.86,0.48,1.05,-1.752.03,
-0.05,0.86,0.48,0.7,-2.031.54,
-0.05,0.86,0.48,0.21,-2.171.82,
-0.05,0.86,0.48,-0.14,-2.102.10,
-0.05,0.86,0.48,-0.28,-2.241.89,
-0.04,0.86,0.48,-0.42,-2.452.10,
-0.04,0.86,0.48,-0.42,-2.311.96,
-0.04,0.86,0.48,-0.35,-2.032.31,
-0.04,0.86,0.48,-0.35,-1.892.10,
-0.04,0.86,0.48,-0.14,-1.962.24,
-0.04,0.86,0.48,0,-1.821.68,
-0.04,0.86,0.48,0.14,-2.172.17,
-0.04,0.86,0.48,0.14,-2.031.75,
-0.04,0.86,0.48,0.07,-1.752.10,
-0.03,0.86,0.48,0.07,-1.402.24,
-0.03,0.86,0.49,-0.07,-0.842.52,
-0.04,0.86,0.48,-0.14,-0.422.59,
-0.03,0.85,0.48,0,-0.142.73,
-0.04,0.86,0.48,0.21,-0.072.52,
-0.04,0.85,0.48,0.63,0.071.89,
-0.04,0.86,0.48,0.49,0.282.45,
-0.04,0.86,0.48,0.49,0.352.10,
-0.04,0.86,0.48,0.35,0.281.82,
-0.04,0.86,0.48,0.14,0.072.03,
-0.04,0.85,0.49,0.14,0.002.10,
-0.04,0.85,0.49,0.35,0.142.10,
-0.04,0.86,0.49,0.63,0.142.24,
-0.04,0.86,0.49,0.91,0.351.54,
-0.04,0.86,0.48,0.84,0.561.96,
-0.04,0.86,0.49,0.91,0.771.82,
-0.04,0.86,0.48,0.7,1.052.03,
-0.04,0.86,0.48,0.56,0.842.17,
-0.04,0.86,0.48,0.49,0.562.17,
-0.05,0.86,0.49,0.63,0.002.03,
-0.04,0.86,0.49,0.63,-0.561.75,
-0.04,0.86,0.49,0.56,-1.051.89,
-0.04,0.85,0.49,0.49,-1.331.89,
-0.04,0.85,0.49,0.35,-1.471.96,
-0.04,0.85,0.49,0.35,-1.541.89,
-0.03,0.85,0.49,0.42,-1.261.82,
-0.03,0.85,0.49,0.56,-0.982.10,
-0.03,0.85,0.49,0.49,-0.702.24,
-0.03,0.85,0.49,0.56,-0.352.10,
-0.03,0.85,0.49,0.56,-0.211.96,
-0.03,0.86,0.49,0.42,0.002.31,
-0.03,0.86,0.49,0.35,0.212.52,
-0.03,0.86,0.49,0.35,0.142.10,
-0.03,0.86,0.49,0.42,0.072.52,
-0.03,0.86,0.49,0.35,-0.072.31,
-0.03,0.85,0.49,0.35,0.002.17,
-0.03,0.85,0.49,0.63,-0.212.31,
-0.03,0.86,0.49,0.63,-0.072.24,
-0.03,0.86,0.49,0.56,0.142.59,
-0.03,0.86,0.48,0.49,0.212.59,
-0.04,0.86,0.48,0.7,0.492.31,
-0.04,0.86,0.48,0.7,0.352.24,
-0.03,0.85,0.49,0.77,0.212.10,
-0.04,0.85,0.49,0.98,0.072.03,
-0.04,0.86,0.49,0.98,-0.071.96,
-0.03,0.86,0.48,0.91,-0.072.03,
-0.03,0.86,0.48,0.77,-0.141.89,
-0.03,0.85,0.48,0.63,-0.211.96,
-0.03,0.85,0.48,0.56,0.001.96,
-0.03,0.85,0.48,0.7,0.071.96,
-0.04,0.85,0.49,0.84,0.212.17,
-0.03,0.86,0.49,0.91,0.281.75,
-0.03,0.85,0.49,0.91,0.211.89,
-0.04,0.86,0.48,0.91,0.211.75,
-0.04,0.86,0.48,0.91,0.001.68,
-0.04,0.86,0.48,0.77,-0.281.68,
-0.04,0.86,0.48,0.7,-0.421.89,
-0.04,0.86,0.48,0.7,-0.491.54,
-0.03,0.86,0.48,0.77,-0.561.40,
-0.03,0.86,0.49,0.7,-0.561.47,
-0.03,0.86,0.48,0.7,-0.911.54,
-0.03,0.85,0.48,0.63,-1.051.61,
-0.04,0.86,0.48,0.63,-1.191.47,
-0.03,0.86,0.49,0.84,-1.331.68,
-0.03,0.86,0.48,0.84,-1.261.40,
-0.03,0.86,0.48,0.84,-1.401.05,
-0.03,0.86,0.48,0.7,-1.610.77,
-0.03,0.86,0.48,0.63,-1.540.91,
-0.03,0.86,0.48,0.7,-1.750.91,
-0.03,0.86,0.48,0.63,-1.960.91,
-0.03,0.85,0.49,0.7,-2.100.84,
-0.03,0.86,0.49,0.98,-2.030.98,
-0.03,0.86,0.49,1.12,-2.030.56,
-0.03,0.86,0.49,1.05,-1.680.70,
-0.03,0.86,0.49,0.91,-1.680.70,
-0.02,0.86,0.48,0.98,-1.680.35,
-0.03,0.86,0.49,1.05,-1.750.77,
-0.03,0.86,0.49,1.12,-1.820.63,
-0.03,0.86,0.48,1.05,-1.820.84,
-0.03,0.86,0.49,0.91,-1.821.05,
-0.03,0.86,0.49,0.84,-1.680.70,
-0.03,0.86,0.48,0.77,-1.540.49,
-0.03,0.86,0.49,0.84,-1.610.42,
-0.03,0.86,0.49,0.77,-1.400.77,
-0.03,0.86,0.48,0.7,-1.120.49,
-0.03,0.85,0.48,0.84,-0.980.91,
-0.03,0.85,0.49,0.84,-0.840.77,
-0.03,0.85,0.49,0.84,-0.700.91,
-0.03,0.86,0.48,0.77,-0.630.84,
-0.03,0.86,0.48,0.56,-0.771.26,
-0.03,0.86,0.48,0.42,-0.701.19,
-0.03,0.86,0.48,0.28,-0.841.47,
-0.03,0.86,0.48,0.21,-1.121.33,
-0.03,0.86,0.48,0.42,-1.051.40,
-0.03,0.85,0.48,0.49,-1.121.40,
-0.03,0.85,0.49,0.84,-1.330.91,
-0.03,0.85,0.49,0.98,-1.260.70,
-0.03,0.86,0.49,1.12,-1.120.42,
-0.03,0.86,0.49,1.12,-0.910.77,
-0.03,0.86,0.48,0.98,-0.770.77,
-0.03,0.86,0.48,0.91,-0.490.84,
-0.03,0.86,0.48,0.98,-0.210.91,
-0.03,0.86,0.48,1.05,0.070.84,
-0.03,0.85,0.49,0.91,0.281.12,
-0.04,0.86,0.48,0.98,0.211.19,
-0.03,0.85,0.48,0.91,0.140.63,
-0.03,0.85,0.49,0.7,0.350.91,
-0.03,0.86,0.49,0.56,0.140.98,
-0.03,0.85,0.49,0.56,-0.140.91,
-0.03,0.86,0.49,0.63,-0.141.33,
-0.03,0.86,0.49,0.56,-0.280.91,
-0.03,0.86,0.49,0.63,-0.211.19,
-0.03,0.85,0.49,0.77,-0.140.91,
-0.03,0.85,0.49,0.7,-0.141.12,
-0.03,0.85,0.48,0.77,-0.141.26,
-0.03,0.86,0.48,0.7,0.000.84,
-0.03,0.86,0.48,0.56,0.350.98,
-0.03,0.86,0.49,0.63,0.420.98,
-0.03,0.86,0.49,0.77,0.071.26,
-0.03,0.85,0.49,0.77,0.140.91,
-0.03,0.85,0.49,0.7,0.070.84,
-0.03,0.85,0.49,0.84,-0.141.19,
-0.03,0.86,0.49,0.77,0.001.05,
-0.03,0.86,0.49,0.7,0.070.91,
-0.03,0.86,0.48,0.63,0.211.33,
-0.03,0.86,0.49,0.42,0.211.33,
-0.03,0.86,0.49,0.35,0.001.12,
-0.03,0.85,0.49,0.42,-0.071.05,
-0.03,0.85,0.49,0.35,-0.141.40,
-0.03,0.85,0.49,0.56,-0.211.05,
-0.03,0.85,0.48,0.49,-0.210.98,
-0.03,0.85,0.48,0.35,-0.210.98,
-0.03,0.85,0.49,0.42,-0.071.33,
-0.03,0.85,0.49,0.56,0.001.19,
-0.03,0.85,0.49,0.35,0.211.05,
-0.03,0.86,0.49,0.56,0.210.91,
-0.03,0.86,0.49,0.49,0.421.26,
-0.03,0.85,0.49,0.56,0.560.98,
-0.03,0.86,0.48,0.7,0.701.19,
-0.03,0.85,0.49,0.98,0.700.91,
-0.03,0.85,0.49,1.19,0.910.91,
-0.03,0.86,0.49,1.26,0.910.56,
-0.03,0.86,0.49,1.26,1.120.70,
-0.03,0.86,0.49,1.19,1.121.33,
-0.04,0.86,0.49,0.91,1.120.63,
-0.03,0.86,0.49,0.91,1.050.63,
-0.04,0.86,0.49,0.7,0.701.19,
-0.04,0.86,0.49,0.63,0.420.91,
-0.04,0.86,0.49,0.77,0.350.77,
-0.04,0.86,0.48,0.7,0.070.98,
-0.04,0.85,0.48,0.77,-0.070.84,
-0.04,0.85,0.49,0.98,-0.350.35,
-0.04,0.85,0.49,1.19,-0.350.21,
-0.04,0.85,0.49,1.26,-0.560.28,
-0.04,0.85,0.49,1.54,-0.91,
-0.04,0.85,0.49,1.61,-0.77,
-0.03,0.85,0.49,1.68,-0.77,
-0.03,0.85,0.49,1.75,-1.12,
-0.03,0.86,0.49,1.54,-0.770.07,
-0.03,0.86,0.49,1.33,-0.700.42,
-0.02,0.86,0.49,1.12,-0.420.35,
-0.03,0.86,0.49,0.98,-0.140.07,
-0.02,0.85,0.49,0.98,0.070.00,
-0.02,0.86,0.49,1.05,0.280.56,
-0.02,0.86,0.49,1.33,0.420.35,
-0.02,0.86,0.49,1.54,0.490.42,
-0.02,0.85,0.49,1.75,0.560.07,
-0.02,0.85,0.49,1.75,0.770.84,
-0.02,0.85,0.49,1.61,1.190.98,
-0.02,0.85,0.49,1.61,1.750.77,
-0.02,0.85,0.49,1.68,2.310.84,
-0.03,0.85,0.49,1.68,2.591.40,
-0.03,0.86,0.49,1.82,2.801.33,
-0.03,0.86,0.49,1.61,2.801.54,
-0.04,0.86,0.49,1.47,2.801.61,
-0.04,0.86,0.49,1.4,2.591.54,
-0.05,0.86,0.49,1.33,2.101.68,
-0.05,0.86,0.49,1.19,1.961.33,
-0.05,0.86,0.49,1.05,1.611.19,
-0.04,0.86,0.49,0.98,1.121.19,
-0.04,0.86,0.49,0.77,1.051.05,
-0.04,0.85,0.49,0.77,0.771.19,
-0.04,0.86,0.49,0.77,1.051.68,
-0.04,0.85,0.49,0.98,1.191.33,
-0.04,0.85,0.48,1.12,1.401.33,
-0.04,0.85,0.48,1.05,1.611.68,
-0.04,0.85,0.48,1.12,2.171.33,
-0.05,0.85,0.48,1.26,2.661.12,
-0.05,0.86,0.48,1.33,2.801.19,
-0.05,0.86,0.48,1.33,2.661.33,
-0.05,0.86,0.48,1.4,2.520.98,
-0.05,0.86,0.48,1.61,2.100.84,
-0.05,0.86,0.48,1.75,1.610.63,
-0.05,0.85,0.49,1.68,1.050.63,
-0.05,0.85,0.48,1.75,0.630.07,
-0.05,0.85,0.48,1.89,0.210.14,
-0.05,0.86,0.48,1.68,0.140.56,
-0.04,0.86,0.48,1.4,0.210.42,
-0.04,0.86,0.48,1.26,0.280.70,
-0.04,0.86,0.48,0.91,0.770.84,
-0.04,0.86,0.48,0.77,1.261.12,
-0.04,0.86,0.48,0.7,1.541.19,
-0.04,0.86,0.48,0.7,1.470.63,
-0.04,0.86,0.48,1.12,1.400.70,
-0.04,0.86,0.48,1.4,1.050.42,
-0.04,0.86,0.48,1.61,0.560.35,
-0.04,0.85,0.48,1.96,0.07-17.78,
-0.04,0.86,0.48,2.03,-0.140.56,
-0.04,0.86,0.48,1.75,-0.210.21,
-0.04,0.86,0.48,1.61,-0.420.21,
-0.04,0.86,0.48,1.33,-0.280.77,
-0.04,0.86,0.48,1.12,0.000.70,
-0.04,0.86,0.48,0.91,0.350.77,
-0.04,0.86,0.48,0.91,0.631.05,
-0.04,0.86,0.48,0.98,0.910.70,
-0.04,0.86,0.48,1.19,0.840.21,
-0.04,0.86,0.48,1.33,0.420.21,
-0.04,0.86,0.48,1.54,0.070.07,
-0.04,0.86,0.48,1.54,0.000.35,
-0.04,0.86,0.48,1.61,-0.490.42,
-0.04,0.86,0.48,1.47,-0.770.42,
-0.04,0.86,0.48,1.19,-0.840.77,
-0.04,0.86,0.48,1.33,-0.630.91,
-0.04,0.86,0.48,1.26,-0.280.84,
-0.04,0.86,0.48,1.19,0.211.05,
-0.04,0.86,0.48,1.26,0.700.91,
-0.04,0.86,0.48,1.19,1.050.56,
-0.04,0.86,0.48,1.33,1.260.56,
-0.04,0.86,0.48,1.33,1.610.91,
-0.04,0.86,0.48,1.4,1.471.12,
-0.05,0.86,0.48,1.26,1.261.33,
-0.05,0.86,0.48,1.19,1.191.40,
-0.05,0.86,0.48,1.26,0.911.12,
-0.05,0.86,0.48,1.19,0.770.77,
-0.05,0.86,0.48,1.4,0.561.12,
