aX,aY,aZ,gX,gY,gZ
0.15,0.91,0.3,-1.26,-6.51-0.84,
0.15,0.91,0.3,-1.05,-6.37-1.12,
0.14,0.9,0.3,-0.49,-6.37-1.19,
0.15,0.91,0.3,-0.07,-6.30-1.05,
0.15,0.92,0.31,0.49,-6.23-0.84,
0.15,0.92,0.31,0.91,-6.02-1.05,
0.15,0.92,0.31,1.12,-6.16-1.40,
0.15,0.92,0.31,0.98,-6.02-1.33,
0.16,0.92,0.32,0.84,-5.95-1.61,
0.16,0.92,0.32,0.77,-5.88-1.54,
0.16,0.92,0.32,0.56,-5.53-1.33,
0.16,0.92,0.32,0.7,-5.18-1.33,
0.16,0.92,0.31,0.91,-4.90-1.05,
0.15,0.92,0.31,0.98,-4.69-0.70,
0.15,0.92,0.31,1.12,-4.34-0.42,
0.15,0.92,0.31,1.19,-3.99-0.28,
0.15,0.92,0.31,1.26,-3.50-0.35,
0.15,0.92,0.31,1.33,-3.15-0.28,
0.15,0.92,0.31,1.75,-2.94-0.28,
0.15,0.93,0.31,1.96,-2.52-0.77,
0.15,0.93,0.3,2.03,-2.45-0.91,
0.15,0.92,0.3,2.17,-2.38-0.98,
0.15,0.92,0.3,2.73,-2.24-1.12,
0.15,0.92,0.29,2.8,-1.96-0.98,
0.15,0.92,0.29,3.01,-1.75-0.77,
0.15,0.92,0.3,3.22,-1.47-0.84,
0.15,0.93,0.3,3.22,-1.47-0.49,
0.15,0.93,0.29,3.01,-1.61-1.05,
0.15,0.93,0.29,2.66,-1.75-0.77,
0.15,0.93,0.29,2.31,-1.89-0.91,
0.15,0.93,0.29,1.75,-1.82-0.77,
0.16,0.93,0.29,1.26,-1.40-0.63,
0.16,0.93,0.29,1.19,-1.050.00,
0.16,0.93,0.28,1.19,-0.42-0.07,
0.15,0.93,0.29,1.12,-0.210.42,
0.15,0.92,0.29,1.26,0.070.63,
0.15,0.92,0.29,1.54,-0.140.56,
0.15,0.92,0.28,1.89,0.000.56,
0.15,0.92,0.29,2.03,0.420.56,
0.15,0.92,0.29,2.03,0.35-0.21,
0.15,0.92,0.29,1.96,0.840.07,
0.16,0.92,0.29,1.96,1.26-0.14,
0.16,0.92,0.29,1.68,1.75-0.21,
0.16,0.93,0.29,1.68,1.680.07,
0.15,0.93,0.29,1.4,1.750.49,
0.15,0.93,0.28,1.33,1.331.19,
0.15,0.93,0.28,1.26,0.841.47,
0.14,0.93,0.29,1.19,0.631.40,
0.14,0.93,0.29,1.26,0.491.54,
0.14,0.93,0.29,0.98,0.281.68,
0.14,0.93,0.3,0.91,0.491.05,
0.14,0.93,0.29,0.7,0.490.84,
0.14,0.93,0.28,0.49,0.630.84,
0.14,0.93,0.28,0.49,0.700.70,
0.13,0.92,0.28,0.56,0.630.77,
0.13,0.93,0.28,0.7,0.420.70,
0.13,0.93,0.28,0.49,-0.140.77,
0.13,0.93,0.28,0.7,-0.560.63,
0.13,0.94,0.29,0.91,-0.910.14,
0.14,0.94,0.29,1.12,-1.540.49,
0.14,0.93,0.29,1.12,-1.680.14,
0.14,0.93,0.29,1.12,-1.68-0.07,
0.14,0.92,0.29,0.84,-1.680.07,
0.14,0.92,0.29,0.91,-1.540.14,
0.14,0.92,0.29,0.77,-1.190.28,
0.14,0.92,0.29,0.77,-0.700.49,
0.15,0.93,0.29,0.63,0.000.77,
0.15,0.93,0.29,0.49,0.280.56,
0.15,0.93,0.29,0.28,0.700.70,
0.16,0.92,0.29,0.28,0.701.40,
0.16,0.92,0.29,0.42,0.702.10,
0.16,0.92,0.29,0.49,0.982.66,
0.16,0.92,0.29,0.49,1.193.01,
0.16,0.92,0.3,0.49,1.893.22,
0.16,0.93,0.3,0.42,2.103.15,
0.16,0.93,0.29,0.49,2.593.15,
0.15,0.92,0.29,0.49,3.082.80,
0.15,0.93,0.29,0.63,3.502.52,
0.14,0.93,0.29,0.56,3.852.45,
0.14,0.93,0.29,0.7,3.641.89,
0.13,0.93,0.29,0.98,3.291.54,
0.13,0.93,0.29,1.12,2.731.61,
0.13,0.93,0.29,1.12,2.171.19,
0.13,0.93,0.29,1.19,1.610.91,
0.13,0.92,0.29,1.05,1.050.84,
0.13,0.92,0.29,0.84,0.770.63,
0.13,0.93,0.28,0.84,0.561.12,
0.13,0.92,0.28,0.84,0.211.33,
0.13,0.93,0.29,0.84,0.001.47,
0.14,0.93,0.29,0.84,-0.071.19,
0.14,0.93,0.29,0.56,-0.141.26,
0.15,0.94,0.29,0.35,-0.281.12,
0.15,0.93,0.3,0.21,-0.491.12,
0.15,0.93,0.3,-0.07,-0.840.98,
0.14,0.92,0.29,-0.21,-0.981.05,
0.14,0.92,0.29,0.07,-1.190.91,
0.14,0.92,0.29,0.35,-1.190.70,
0.13,0.92,0.29,0.35,-0.910.91,
0.14,0.92,0.29,0.35,-0.630.35,
0.14,0.92,0.29,0.35,-0.770.70,
0.15,0.92,0.3,0.35,-1.050.70,
0.15,0.92,0.3,0.35,-1.330.91,
0.15,0.93,0.3,0.28,-1.331.19,
0.15,0.93,0.3,0.14,-1.191.26,
0.16,0.93,0.3,-0.07,-0.911.40,
0.16,0.93,0.31,-0.07,-0.491.47,
0.16,0.93,0.3,-0.14,-0.141.33,
0.16,0.92,0.3,-0.14,0.141.33,
0.16,0.92,0.3,0.21,0.281.47,
0.16,0.92,0.3,0.42,0.561.33,
0.15,0.92,0.29,0.56,0.911.96,
0.15,0.92,0.3,0.84,1.052.17,
0.15,0.92,0.3,0.98,1.612.10,
0.15,0.92,0.3,1.19,1.611.96,
0.14,0.92,0.3,1.26,1.541.61,
0.14,0.93,0.29,1.19,1.401.40,
0.14,0.92,0.29,1.19,1.191.40,
0.15,0.92,0.29,1.12,1.191.54,
0.15,0.92,0.29,1.26,1.051.12,
0.14,0.92,0.29,1.33,1.121.19,
0.14,0.92,0.29,1.47,1.121.12,
0.14,0.92,0.3,1.61,1.540.77,
0.15,0.92,0.3,1.89,1.750.84,
0.15,0.93,0.3,1.96,2.031.05,
0.15,0.93,0.3,1.75,2.240.91,
0.15,0.93,0.29,1.96,2.101.12,
0.15,0.93,0.29,1.33,2.101.19,
0.15,0.93,0.28,0.98,1.611.47,
0.15,0.92,0.28,0.98,1.121.75,
0.14,0.92,0.29,1.26,0.982.45,
0.14,0.92,0.29,1.61,0.982.38,
0.13,0.93,0.29,2.1,0.912.31,
0.13,0.94,0.29,2.31,0.492.17,
0.12,0.94,0.29,2.03,0.281.75,
0.12,0.94,0.29,1.82,-0.211.05,
0.12,0.94,0.28,1.4,-0.630.70,
0.12,0.94,0.28,0.98,-1.120.07,
0.13,0.93,0.29,0.7,-1.540.14,
0.13,0.93,0.29,0.42,-2.03-0.14,
0.13,0.93,0.3,0.28,-2.380.00,
0.13,0.93,0.3,0.35,-2.59-0.07,
0.13,0.92,0.3,0.49,-2.870.21,
0.14,0.92,0.3,0.49,-2.940.42,
0.14,0.93,0.29,0.35,-3.150.28,
0.15,0.92,0.29,0.28,-3.010.98,
0.15,0.92,0.29,0.21,-2.590.63,
0.15,0.92,0.29,0.42,-1.960.77,
0.15,0.92,0.3,0.49,-1.680.63,
0.15,0.92,0.3,0.63,-1.470.70,
0.15,0.93,0.3,0.56,-1.470.49,
0.15,0.93,0.3,0.7,-1.610.49,
0.15,0.93,0.3,0.7,-1.330.70,
0.15,0.92,0.3,0.56,-1.190.56,
0.15,0.92,0.3,0.63,-0.840.84,
0.16,0.92,0.3,0.77,-0.561.12,
0.16,0.92,0.3,0.7,-0.491.26,
0.16,0.92,0.29,1.05,-0.631.26,
0.16,0.92,0.3,1.19,-0.351.26,
0.16,0.92,0.29,1.26,0.071.75,
0.16,0.92,0.3,1.4,0.841.75,
0.16,0.92,0.29,1.4,1.751.89,
0.16,0.92,0.29,1.54,2.591.75,
0.15,0.92,0.3,1.54,3.221.89,
0.15,0.93,0.3,1.54,3.361.82,
0.15,0.93,0.3,1.54,3.431.96,
0.15,0.93,0.29,1.4,3.221.96,
0.15,0.93,0.29,1.05,2.871.96,
0.15,0.92,0.29,1.12,2.662.17,
0.15,0.92,0.29,1.47,2.521.68,
0.15,0.92,0.29,2.03,2.661.33,
0.14,0.92,0.29,2.45,2.941.54,
0.14,0.92,0.29,2.87,3.151.26,
0.14,0.92,0.29,2.94,3.081.40,
0.14,0.92,0.29,2.73,3.151.33,
0.13,0.93,0.29,2.66,3.081.19,
0.13,0.93,0.29,2.31,2.801.26,
0.13,0.94,0.29,1.89,2.241.40,
0.13,0.94,0.29,1.68,1.891.05,
0.13,0.94,0.29,1.26,1.471.19,
0.13,0.93,0.29,0.84,1.121.19,
0.13,0.93,0.29,0.56,0.911.33,
0.13,0.93,0.29,0.49,0.421.61,
0.13,0.93,0.29,0.14,0.071.47,
0.13,0.93,0.28,0.07,-0.281.61,
0.13,0.92,0.28,0.07,-0.911.75,
0.13,0.92,0.28,0.35,-1.261.61,
0.12,0.92,0.29,0.98,-1.471.12,
0.13,0.92,0.29,1.54,-1.470.84,
0.14,0.93,0.3,1.68,-0.980.00,
0.14,0.93,0.3,1.61,-0.56-0.35,
0.15,0.94,0.3,1.26,-0.42-0.42,
0.16,0.93,0.29,0.91,-0.35-0.42,
0.16,0.93,0.29,0.77,-0.490.14,
0.15,0.93,0.29,0.49,-0.630.70,
0.15,0.92,0.29,0.42,-0.631.47,
0.14,0.93,0.29,0.14,-0.771.89,
0.13,0.93,0.29,0,-0.562.10,
0.13,0.93,0.29,-0.21,-0.562.66,
0.14,0.93,0.29,-0.14,-0.562.52,
0.13,0.92,0.29,-0.35,0.001.89,
0.14,0.92,0.29,-0.21,0.421.40,
0.14,0.92,0.29,-0.28,0.491.33,
0.15,0.92,0.28,-0.21,0.141.05,
0.15,0.92,0.29,-0.14,0.140.70,
0.15,0.92,0.29,0.21,-0.140.49,
0.15,0.93,0.3,0.56,-0.350.70,
0.15,0.93,0.3,0.98,-0.210.70,
0.15,0.93,0.3,1.4,0.070.70,
0.15,0.92,0.3,1.75,0.280.49,
0.15,0.92,0.3,1.75,0.560.49,
0.14,0.92,0.29,1.82,0.840.77,
0.14,0.92,0.29,1.54,1.050.56,
0.14,0.93,0.29,1.4,1.050.49,
0.14,0.93,0.3,1.19,0.910.63,
0.13,0.93,0.3,0.91,0.350.56,
0.13,0.93,0.3,0.77,-0.490.77,
0.14,0.93,0.29,0.84,-0.910.91,
0.14,0.93,0.29,1.12,-1.260.84,
0.14,0.93,0.29,1.12,-1.260.91,
0.14,0.92,0.29,0.98,-1.260.49,
0.14,0.92,0.29,1.19,-1.400.28,
0.14,0.92,0.3,1.26,-0.980.35,
0.14,0.93,0.29,1.19,-0.700.28,
0.14,0.93,0.3,1.19,-0.35-0.07,
0.14,0.93,0.29,1.12,-0.14-0.21,
0.14,0.93,0.3,1.19,-0.35-0.28,
0.14,0.93,0.3,1.26,-0.63-0.07,
0.14,0.93,0.3,1.19,-1.120.35,
0.15,0.93,0.3,1.33,-1.190.00,
0.15,0.93,0.3,1.05,-1.400.42,
0.15,0.93,0.29,0.7,-1.540.35,
0.15,0.92,0.29,0.7,-1.470.07,
0.15,0.92,0.3,0.84,-0.980.00,
0.15,0.92,0.29,1.05,-0.490.35,
0.15,0.92,0.3,1.47,0.000.28,
0.15,0.92,0.3,1.96,0.000.28,
0.15,0.92,0.29,2.24,0.000.14,
0.15,0.93,0.29,2.38,0.070.35,
0.15,0.92,0.29,2.45,0.210.35,
0.15,0.92,0.29,2.66,0.420.14,
0.14,0.92,0.29,2.73,0.70-0.07,
0.14,0.92,0.29,2.66,0.840.00,
0.14,0.92,0.29,2.59,0.910.00,
0.14,0.93,0.29,2.59,0.91-0.07,
0.14,0.93,0.29,2.38,1.260.35,
0.14,0.93,0.29,2.1,1.120.35,
0.14,0.93,0.29,2.1,0.700.42,
0.14,0.93,0.29,2.03,0.280.70,
0.14,0.93,0.29,1.68,0.140.98,
0.14,0.93,0.29,1.26,0.140.91,
0.14,0.93,0.29,0.98,0.000.91,
0.14,0.93,0.3,0.84,0.000.84,
0.14,0.93,0.3,0.7,0.281.12,
0.15,0.93,0.3,0.56,0.771.33,
0.15,0.92,0.3,0.56,0.631.40,
0.15,0.92,0.29,0.63,0.841.33,
0.15,0.92,0.29,0.77,0.701.54,
0.14,0.92,0.29,0.91,0.631.54,
0.15,0.92,0.29,1.12,0.841.68,
0.14,0.92,0.29,1.33,1.121.68,
0.14,0.93,0.29,1.68,1.121.54,
0.14,0.93,0.29,1.82,1.261.19,
0.14,0.93,0.29,1.75,1.541.12,
0.14,0.93,0.3,1.47,1.681.05,
0.14,0.93,0.29,1.33,1.680.63,
0.14,0.93,0.29,1.4,1.540.56,
0.14,0.93,0.29,1.4,1.260.70,
0.14,0.92,0.29,1.61,1.050.35,
0.13,0.92,0.29,1.82,0.840.63,
0.13,0.93,0.29,1.89,0.770.77,
0.14,0.93,0.28,1.89,0.980.49,
0.13,0.93,0.29,2.03,1.190.63,
0.13,0.93,0.29,1.82,1.680.98,
0.13,0.93,0.29,1.54,1.680.77,
0.13,0.93,0.29,1.54,1.330.49,
0.13,0.92,0.29,1.47,1.050.77,
0.13,0.93,0.29,1.4,0.840.84,
0.13,0.93,0.28,1.33,0.350.77,
0.13,0.93,0.28,1.4,0.210.70,
0.13,0.93,0.29,1.33,-0.140.77,
0.13,0.93,0.28,1.33,-0.350.84,
0.13,0.93,0.28,1.47,-0.490.84,
0.14,0.93,0.29,1.75,-0.560.56,
0.13,0.93,0.29,1.68,-0.350.56,
0.13,0.93,0.29,1.75,0.000.70,
0.13,0.93,0.29,1.68,0.140.28,
0.14,0.93,0.29,1.47,0.350.00,
0.13,0.93,0.29,1.26,0.630.00,
0.13,0.93,0.28,1.4,0.490.35,
0.13,0.93,0.29,1.61,0.350.42,
0.13,0.93,0.29,1.68,0.420.49,
0.14,0.93,0.28,1.68,0.350.56,
0.14,0.93,0.29,1.54,-0.140.49,
0.14,0.93,0.28,1.54,-0.070.42,
0.15,0.93,0.29,1.54,0.000.49,
0.15,0.92,0.29,1.75,0.420.42,
0.15,0.93,0.29,2.03,0.700.56,
0.15,0.92,0.28,1.89,1.190.35,
0.15,0.92,0.28,1.96,1.750.77,
0.14,0.92,0.28,2.1,2.240.77,
0.14,0.93,0.29,2.03,2.800.84,
0.14,0.93,0.29,2.03,3.290.35,
0.14,0.93,0.29,2.17,3.640.14,
0.14,0.92,0.29,2.31,4.130.07,
0.14,0.92,0.29,2.59,4.620.00,
0.15,0.92,0.29,3.01,4.90-0.21,
0.15,0.93,0.29,3.29,5.11-0.21,
0.14,0.93,0.28,3.71,5.460.07,
0.14,0.93,0.28,3.92,5.880.28,
0.14,0.93,0.28,4.13,6.090.77,
0.14,0.93,0.28,3.99,6.231.54,
0.13,0.93,0.28,3.85,6.372.03,
0.13,0.93,0.28,3.71,6.162.17,
0.12,0.93,0.28,3.22,5.882.38,
0.12,0.94,0.29,2.73,5.672.87,
0.12,0.94,0.29,2.17,5.602.45,
0.12,0.94,0.29,1.75,5.462.17,
0.12,0.94,0.29,1.4,5.252.66,
0.12,0.94,0.28,1.19,4.902.52,
0.12,0.94,0.28,1.33,4.482.17,
0.11,0.93,0.27,1.61,3.992.52,
0.11,0.93,0.27,1.54,3.782.66,
0.1,0.94,0.28,1.54,3.432.66,
0.1,0.94,0.28,1.61,2.942.24,
0.11,0.94,0.28,1.54,2.312.17,
0.11,0.94,0.28,1.26,1.751.33,
0.11,0.93,0.28,1.26,1.541.26,
0.12,0.93,0.29,1.33,1.471.12,
0.12,0.93,0.29,1.54,1.750.63,
0.12,0.93,0.29,1.4,1.680.63,
0.12,0.93,0.28,1.4,1.400.84,
0.12,0.93,0.28,1.61,0.771.12,
0.13,0.93,0.28,1.68,0.351.40,
0.13,0.93,0.28,1.68,-0.351.54,
0.13,0.93,0.29,1.54,-0.421.75,
0.14,0.93,0.29,1.61,-0.421.82,
0.14,0.93,0.29,1.75,0.211.82,
0.14,0.93,0.29,1.61,0.982.03,
0.13,0.94,0.29,1.33,1.402.38,
0.13,0.94,0.28,0.98,1.542.59,
0.12,0.94,0.28,0.56,1.122.59,
0.12,0.94,0.28,0.35,0.632.80,
0.12,0.94,0.27,0.21,0.352.94,
0.12,0.94,0.27,-0.07,-0.073.08,
0.12,0.94,0.27,-0.07,-0.563.15,
0.12,0.94,0.27,-0.35,-0.843.08,
0.11,0.93,0.27,-0.49,-1.262.80,
0.11,0.93,0.27,-0.56,-1.332.52,
0.11,0.93,0.27,-0.56,-1.331.82,
0.11,0.93,0.27,-0.56,-1.471.26,
0.11,0.93,0.27,-0.56,-1.681.33,
0.11,0.94,0.27,-0.49,-1.960.70,
0.12,0.94,0.27,-0.35,-2.660.56,
0.12,0.93,0.27,-0.28,-3.150.49,
0.12,0.93,0.28,0,-3.430.21,
0.12,0.93,0.28,0.35,-3.500.07,
0.13,0.94,0.28,0.49,-3.640.07,
0.13,0.93,0.28,0.56,-3.78-0.21,
0.14,0.93,0.28,0.63,-3.64-0.56,
0.14,0.92,0.28,0.49,-3.22-0.56,
0.14,0.92,0.28,0.28,-2.73-0.28,
0.14,0.93,0.28,0.42,-2.38-0.21,
0.14,0.93,0.28,0.49,-1.960.00,
0.14,0.93,0.28,0.91,-2.100.21,
0.15,0.93,0.29,0.63,-2.100.42,
0.15,0.93,0.29,0.42,-1.820.07,
0.15,0.93,0.29,0.07,-1.400.28,
0.15,0.93,0.29,-0.07,-1.120.14,
0.15,0.92,0.29,-0.14,-0.630.21,
0.15,0.92,0.29,0.07,-0.630.14,
0.15,0.92,0.29,0.49,-0.21-0.14,
0.15,0.92,0.29,0.7,0.280.07,
0.14,0.92,0.29,0.98,0.630.00,
0.13,0.93,0.29,1.33,0.700.07,
0.13,0.93,0.29,1.33,0.770.14,
0.13,0.93,0.29,1.54,0.840.21,
0.13,0.93,0.29,1.75,1.050.21,
0.13,0.93,0.29,1.47,1.260.07,
0.14,0.93,0.29,1.47,0.770.21,
0.14,0.93,0.29,1.4,0.560.28,
0.14,0.93,0.29,1.19,0.35-0.07,
0.13,0.92,0.29,1.4,0.000.00,
0.13,0.92,0.29,1.54,-0.070.00,
0.14,0.92,0.29,1.61,0.350.28,
0.14,0.93,0.29,1.75,0.980.28,
0.14,0.93,0.28,1.96,1.330.49,
0.14,0.93,0.29,1.96,1.680.35,
0.14,0.93,0.29,1.96,1.820.70,
0.14,0.93,0.29,1.96,1.890.98,
0.14,0.93,0.29,1.75,1.891.26,
0.14,0.92,0.29,1.82,1.821.47,
0.15,0.92,0.29,1.75,2.381.54,
0.15,0.92,0.29,1.68,2.871.82,
0.15,0.93,0.29,1.75,3.641.54,
0.15,0.93,0.29,1.82,4.411.47,
0.14,0.93,0.28,2.1,4.971.26,
0.13,0.93,0.28,2.24,5.251.05,
0.13,0.93,0.28,2.52,5.811.33,
0.13,0.93,0.29,2.59,5.741.33,
0.12,0.93,0.28,2.8,5.251.61,
0.12,0.93,0.29,3.01,4.831.54,
0.12,0.92,0.28,3.15,4.551.61,
0.12,0.93,0.28,3.08,4.201.96,
0.12,0.93,0.28,2.8,3.921.61,
0.12,0.93,0.27,2.66,3.781.54,
0.11,0.93,0.28,2.52,3.431.47,
0.11,0.94,0.27,2.38,3.151.40,
0.11,0.94,0.27,2.38,2.941.40,
0.11,0.94,0.28,2.38,2.731.26,
0.11,0.94,0.28,2.38,2.381.47,
0.11,0.94,0.28,2.24,1.891.47,
0.11,0.94,0.28,1.96,1.121.26,
0.11,0.94,0.28,1.33,0.561.26,
0.11,0.93,0.28,1.12,0.281.26,
0.11,0.93,0.27,0.91,0.280.98,
0.12,0.93,0.27,0.91,0.001.05,
0.12,0.93,0.27,0.84,-0.211.05,
0.11,0.93,0.27,0.98,-0.281.40,
0.11,0.93,0.27,1.19,-0.141.26,
0.12,0.93,0.28,1.4,-0.211.26,
0.12,0.93,0.28,1.82,-0.210.98,
0.12,0.94,0.28,1.75,0.001.05,
0.11,0.94,0.28,1.47,0.070.84,
0.11,0.94,0.28,1.33,0.000.49,
0.12,0.94,0.28,0.77,-0.420.42,
0.11,0.94,0.28,0.77,-0.49-0.07,
0.12,0.93,0.28,0.84,-0.77-0.14,
0.12,0.93,0.28,0.98,-1.260.07,
0.12,0.93,0.28,0.98,-1.61-0.49,
0.11,0.93,0.28,0.98,-1.820.35,
0.12,0.93,0.27,1.12,-2.170.49,
0.11,0.94,0.28,1.19,-2.380.63,
0.11,0.93,0.28,1.33,-2.590.63,
0.11,0.94,0.29,1.26,-2.590.84,
0.12,0.94,0.29,1.33,-2.520.49,
0.12,0.94,0.29,1.26,-2.03-0.28,
0.12,0.94,0.29,1.26,-1.82-0.49,
0.12,0.93,0.28,0.84,-1.68-1.05,
0.12,0.93,0.28,0.77,-2.03-0.98,
0.12,0.93,0.28,0.77,-1.75-0.56,
0.12,0.94,0.28,0.98,-1.89-0.56,
0.13,0.94,0.28,1.19,-1.890.00,
0.13,0.94,0.28,1.19,-2.240.28,
0.12,0.94,0.28,1.19,-2.590.14,
0.12,0.93,0.28,1.05,-2.660.35,
0.13,0.93,0.28,0.91,-2.800.63,
0.12,0.93,0.28,0.98,-2.520.49,
0.13,0.93,0.28,0.91,-2.170.35,
0.13,0.93,0.27,1.05,-2.03-0.21,
0.13,0.92,0.27,1.05,-1.890.00,
0.13,0.93,0.27,1.12,-1.33-0.21,
0.13,0.93,0.27,1.26,-0.770.00,
0.13,0.93,0.27,1.4,-0.350.00,
0.13,0.94,0.27,1.54,-0.210.21,
0.13,0.94,0.27,1.82,-0.070.21,
0.13,0.94,0.28,1.75,-0.070.28,
0.12,0.94,0.28,1.82,-0.630.35,
0.11,0.93,0.28,1.68,-1.120.49,
0.11,0.93,0.28,1.75,-1.540.49,
0.12,0.93,0.28,1.75,-1.610.56,
0.12,0.93,0.28,1.75,-1.400.63,
0.12,0.93,0.28,1.82,-0.910.77,
0.12,0.93,0.28,1.82,-0.420.56,
0.12,0.94,0.28,1.75,-0.140.84,
0.12,0.94,0.27,1.68,-0.350.77,
0.12,0.94,0.27,1.54,-0.490.70,
0.12,0.94,0.28,1.26,-0.700.70,
0.12,0.94,0.28,1.12,-0.770.84,
0.12,0.93,0.28,0.84,-0.840.35,
0.12,0.93,0.28,0.7,-0.560.49,
0.12,0.93,0.28,0.77,-0.280.84,
0.12,0.93,0.28,0.91,-0.070.77,
0.12,0.94,0.28,0.98,0.420.70,
0.12,0.94,0.27,0.91,0.211.05,
0.12,0.94,0.27,1.05,-0.140.70,
0.12,0.94,0.26,1.26,-0.701.12,
0.12,0.93,0.26,1.4,-1.401.40,
0.12,0.93,0.27,1.54,-1.191.26,
0.12,0.93,0.27,1.68,-0.911.47,
0.12,0.94,0.27,1.68,-0.421.47,
0.12,0.94,0.27,1.61,-0.071.19,
0.11,0.94,0.27,1.26,0.141.12,
0.12,0.94,0.27,0.7,0.280.84,
0.11,0.94,0.27,0.49,0.280.56,
0.12,0.94,0.27,0.56,0.070.63,
0.12,0.93,0.27,0.77,-0.140.49,
0.12,0.93,0.27,0.84,0.000.28,
0.13,0.93,0.27,0.91,-0.140.84,
0.13,0.94,0.27,1.05,-0.211.05,
0.12,0.93,0.27,0.77,-0.421.12,
0.12,0.94,0.27,0.84,-0.281.33,
0.12,0.94,0.27,0.77,0.141.47,
0.12,0.93,0.28,0.84,0.071.26,
0.12,0.93,0.28,0.7,0.211.12,
0.12,0.93,0.28,0.63,0.281.19,
0.13,0.93,0.28,0.56,0.561.19,
0.13,0.93,0.28,0.63,0.631.26,
0.13,0.93,0.28,0.7,0.701.40,
0.13,0.93,0.28,0.7,0.771.47,
0.13,0.93,0.27,0.56,0.701.89,
0.13,0.93,0.27,0.7,0.911.61,
0.12,0.93,0.27,0.56,1.121.75,
0.12,0.94,0.27,0.49,1.471.75,
0.12,0.94,0.28,0.35,1.331.89,
0.12,0.94,0.28,0.49,1.471.68,
0.12,0.94,0.28,0.28,1.191.75,
0.12,0.94,0.28,0.21,1.051.47,
0.11,0.94,0.28,0.07,0.841.54,
0.12,0.93,0.28,0.21,0.771.61,
0.12,0.93,0.28,0.28,0.561.47,
0.12,0.93,0.27,0.35,0.701.19,
0.12,0.93,0.27,0.56,0.701.47,
0.12,0.93,0.27,0.63,0.771.33,
0.12,0.93,0.27,0.77,0.981.75,
0.12,0.93,0.28,1.05,1.331.61,
0.12,0.94,0.28,1.12,1.261.75,
0.12,0.94,0.28,0.98,1.191.54,
