aX,aY,aZ,gX,gY,gZ
0.18,1.21,0.20,-40.11,39.27-4.27,
0.17,1.27,0.16,-52.64,43.190.98,
0.15,1.30,0.11,-68.32,49.4911.27,
0.10,1.27,0.09,-84.70,59.0122.75,
0.02,1.27,0.10,-100.52,73.1535.63,
-0.06,1.22,0.13,-116.06,84.8450.75,
-0.13,1.17,0.13,-135.94,93.3866.22,
-0.22,1.13,0.13,-150.85,95.8380.92,
-0.32,1.10,0.19,-159.67,94.0192.68,
-0.39,1.11,0.18,-169.26,86.59101.15,
-0.44,1.10,0.20,-170.10,73.36103.95,
-0.50,1.10,0.29,-173.95,62.44101.29,
-0.46,1.08,0.39,-154.00,60.8396.18,
-0.44,1.24,0.41,-146.79,63.4988.76,
-0.31,1.21,0.37,-145.88,66.4386.66,
-0.23,1.16,0.33,-141.05,67.8389.18,
-0.19,1.22,0.24,-132.65,64.5482.67,
-0.11,1.15,0.24,-124.60,63.9878.19,
-0.11,1.08,0.27,-120.96,64.6873.29,
-0.11,0.97,0.30,-117.60,64.8271.89,
-0.10,0.92,0.31,-112.56,62.6573.85,
-0.11,0.88,0.34,-108.99,58.6679.10,
-0.09,0.86,0.38,-104.23,57.8288.34,
-0.09,0.89,0.41,-100.10,59.2995.83,
-0.10,0.90,0.41,-98.91,59.92103.25,
-0.02,0.93,0.47,-100.31,63.21110.74,
0.02,1.01,0.52,-104.02,67.41118.51,
0.03,1.02,0.56,-108.36,68.53125.86,
0.08,1.02,0.62,-105.77,70.00131.04,
0.09,0.98,0.63,-102.48,74.83134.33,
0.06,0.92,0.61,-95.41,76.44133.49,
0.06,0.84,0.57,-84.35,76.72134.19,
0.05,0.75,0.52,-67.69,77.21138.60,
0.04,0.75,0.48,-63.98,76.44139.86,
0.04,0.73,0.46,-65.87,77.42139.30,
0.04,0.77,0.46,-73.08,82.18137.97,
0.05,0.76,0.45,-73.92,88.06134.54,
-0.01,0.75,0.45,-72.66,92.47132.16,
-0.07,0.76,0.44,-69.93,94.01130.41,
-0.14,0.72,0.43,-63.28,92.40129.01,
-0.20,0.68,0.45,-56.91,89.46126.42,
-0.25,0.66,0.46,-53.13,87.57120.61,
-0.19,0.62,0.53,-53.55,83.51119.35,
-0.17,0.64,0.54,-52.50,84.91113.33,
-0.08,0.66,0.63,-58.38,83.79113.89,
-0.04,0.69,0.65,-69.23,82.46114.52,
0.01,0.75,0.69,-79.66,80.57114.73,
0.04,0.74,0.73,-86.24,77.63116.06,
0.11,0.58,0.71,-92.40,78.26125.58,
0.07,0.68,0.76,-83.86,68.60132.16,
0.18,0.42,0.75,-88.62,56.70133.84,
0.12,0.50,0.71,-60.34,53.83131.25,
0.12,0.47,0.70,-51.24,53.34129.78,
0.15,0.44,0.71,-44.73,54.11126.07,
0.16,0.44,0.70,-37.17,56.84121.45,
0.16,0.39,0.68,-31.99,59.08118.09,
0.15,0.38,0.70,-23.24,59.15114.45,
0.16,0.37,0.70,-17.29,56.14112.07,
0.18,0.37,0.75,-7.14,53.83108.92,
0.21,0.38,0.77,-0.84,51.52105.70,
0.24,0.37,0.79,9.17,46.62102.27,
0.28,0.36,0.78,22.54,42.5696.67,
0.33,0.36,0.77,43.54,39.6290.09,
0.29,0.37,0.74,65.24,36.6179.59,
0.26,0.35,0.71,104.86,34.7966.36,
0.25,0.34,0.69,122.78,32.3447.32,
0.14,0.41,0.68,144.83,21.9836.75,
0.02,0.88,0.82,111.58,-4.9052.50,
0.16,0.35,0.68,140.00,-8.6835.63,
-0.34,1.28,0.73,164.92,-3.8515.96,
-0.55,1.34,0.87,151.06,2.17-1.61,
-0.67,1.52,0.94,116.83,10.36-16.73,
-0.66,1.40,0.87,80.50,19.32-26.67,
-0.61,1.20,0.61,65.52,21.63-35.63,
-0.55,1.04,0.49,65.10,17.01-37.38,
-0.41,0.90,0.46,76.30,8.40-36.05,
-0.32,0.89,0.44,91.21,-40.18,
-0.27,0.90,0.34,99.68,-48.79,
-0.21,0.96,0.34,102.20,-57.12,
-0.15,0.97,0.33,99.33,-61.11,
-0.07,0.96,0.37,100.03,-63.35,
-0.01,0.96,0.39,101.64,-59.22,
0.02,0.95,0.37,107.87,-55.79,
0.02,0.94,0.33,112.35,-54.46,
0.01,0.91,0.33,119.21,-56.28,
0.04,0.94,0.36,119.49,-57.54,
0.04,0.97,0.36,113.96,-58.03,
0.03,0.96,0.33,108.22,-58.17,
0.04,0.95,0.32,104.16,-58.38,
0.04,0.94,0.33,98.49,-60.48,
0.06,0.99,0.37,95.76,-56.56,
0.10,1.00,0.42,87.29,-48.58,
0.10,0.96,0.45,82.25,-41.44,
0.09,0.91,0.43,78.96,-35.00,
0.09,0.89,0.39,79.24,2.66-30.31,
0.10,0.89,0.36,78.68,5.04-26.74,
0.12,0.83,0.34,77.35,6.93-20.58,
0.08,0.80,0.27,78.82,3.43-15.54,
0.07,0.81,0.26,78.89,3.01-11.34,
0.07,0.83,0.25,74.20,4.41-7.00,
0.00,0.84,0.19,69.51,1.33-2.66,
0.00,0.86,0.18,66.78,-5.18,
-0.02,0.88,0.19,62.51,-8.40,
-0.04,0.87,0.23,58.17,-11.27,
-0.05,0.85,0.26,51.66,-12.95,
-0.07,0.82,0.27,51.45,-14.351.19,
-0.05,0.84,0.26,51.80,-17.78,
-0.04,0.85,0.21,51.66,-18.83,
-0.06,0.88,0.21,49.63,-20.65,
-0.09,0.90,0.18,48.02,-26.74,
-0.11,0.92,0.15,43.68,-28.70,
-0.08,0.94,0.16,37.80,-30.24,
-0.10,0.92,0.19,31.08,-30.66,
-0.04,0.89,0.19,28.49,-33.04,
-0.01,0.84,0.21,25.76,-33.81,
0.07,0.81,0.24,25.20,-34.37,
0.12,0.79,0.27,25.83,-32.62,
0.13,0.87,0.27,32.97,-35.35,
0.14,0.97,0.26,33.53,-35.21,
0.14,1.01,0.30,35.84,-29.89,
0.17,1.06,0.33,38.43,-19.67,
0.18,1.10,0.31,37.94,4.69-13.09,
0.19,1.13,0.27,34.09,11.41-11.20,
0.17,1.14,0.24,30.31,13.65-8.89,
0.13,1.19,0.22,27.93,13.86-6.51,
0.06,1.26,0.24,22.61,12.39-5.67,
0.02,1.34,0.25,16.45,11.69-7.35,
0.01,1.40,0.28,5.95,12.18-8.05,
-0.03,1.44,0.32,-7.14,14.42-7.70,
-0.05,1.48,0.30,-21.63,16.94-6.79,
-0.07,1.49,0.25,-43.54,17.64-4.62,
-0.09,1.46,0.20,-58.52,15.050.07,
-0.13,1.46,0.20,-67.20,11.276.72,
-0.15,1.44,0.22,-70.77,8.4015.82,
-0.19,1.40,0.23,-71.05,5.1821.42,
-0.22,1.31,0.30,-71.68,1.9624.92,
-0.26,1.25,0.40,-80.50,1.8227.44,
-0.27,1.21,0.44,-95.97,2.6628.49,
-0.24,1.17,0.45,-114.87,4.0627.23,
-0.17,1.08,0.46,-127.05,7.2824.92,
-0.11,1.04,0.51,-133.91,12.7423.03,
-0.04,1.05,0.54,-142.45,20.9323.66,
0.00,1.06,0.58,-152.60,27.3725.34,
0.03,1.11,0.61,-165.83,32.5528.14,
0.09,1.12,0.60,-178.01,35.5634.44,
0.07,1.13,0.56,-186.97,30.8040.25,
0.07,1.06,0.47,-185.99,20.8651.10,
0.08,0.93,0.41,-170.45,13.2358.31,
0.04,0.91,0.41,-155.12,17.0161.25,
0.04,0.84,0.39,-125.65,27.4463.98,
0.03,0.76,0.33,-118.44,39.9065.87,
0.00,0.70,0.28,-95.97,49.4266.57,
-0.01,0.69,0.27,-77.00,54.4666.43,
-0.03,0.70,0.30,-64.40,56.7763.63,
-0.10,0.71,0.38,-58.17,53.0659.57,
-0.15,0.67,0.45,-57.61,44.7356.56,
-0.15,0.69,0.53,-55.72,36.3352.99,
-0.15,0.75,0.64,-66.99,29.4751.24,
-0.14,0.80,0.75,-83.16,21.7750.54,
-0.11,0.81,0.72,-98.35,17.3651.52,
-0.10,0.73,0.65,-107.17,14.1454.95,
-0.06,0.66,0.57,-107.10,13.5159.08,
-0.05,0.59,0.52,-104.65,17.0161.95,
-0.02,0.54,0.49,-103.32,24.7163.70,
-0.05,0.51,0.44,-98.98,31.3663.21,
-0.06,0.46,0.40,-90.16,37.8061.67,
-0.08,0.40,0.38,-75.04,44.1758.38,
-0.11,0.41,0.37,-59.85,44.1758.17,
-0.11,0.49,0.39,-46.48,39.7657.12,
-0.05,0.50,0.41,-41.30,32.8360.20,
-0.06,0.51,0.47,-40.04,29.6867.76,
-0.06,0.68,0.54,-83.37,23.5982.39,
-0.14,0.30,0.51,-83.51,21.2872.66,
-0.14,0.24,0.50,-83.23,27.2364.82,
-0.34,0.73,0.55,-95.27,24.0166.50,
-0.09,0.15,0.50,-73.15,27.1661.95,
-0.07,0.16,0.54,-61.25,26.4657.19,
-0.07,0.16,0.58,-44.24,23.5251.73,
-0.03,0.22,0.60,-31.99,19.3246.34,
0.00,0.26,0.64,-21.56,13.5840.95,
0.12,0.30,0.68,-14.35,6.9335.91,
0.04,0.31,0.72,-7.56,2.7330.03,
0.06,0.32,0.79,3.29,-0.7024.36,
0.09,0.27,0.88,19.11,-2.3818.13,
0.10,0.27,0.96,32.48,-4.9712.18,
0.14,0.26,0.97,45.29,-7.775.95,
0.16,0.27,0.93,63.70,-11.41,
0.15,0.31,0.90,83.86,-25.55,
0.02,0.44,0.87,98.70,-36.40,
0.12,0.59,0.87,83.86,-35.70,
0.11,0.47,0.97,106.96,-30.179.03,
0.09,0.66,1.25,84.70,-34.0917.01,
0.01,0.97,1.12,76.65,-29.6811.27,
-0.16,1.23,1.19,90.86,-14.28,
-0.24,1.42,1.15,108.85,11.69-26.88,
-0.29,1.38,1.04,102.83,15.54-36.26,
-0.29,1.20,0.76,94.71,20.58-43.54,
-0.18,0.97,0.65,95.06,24.57-40.25,
-0.11,0.64,0.59,96.74,17.92-35.35,
-0.06,0.59,0.48,102.27,6.65-31.64,
-0.02,0.60,0.43,102.69,-30.94,
0.00,0.59,0.39,103.74,-35.91,
-0.03,0.60,0.37,109.27,-40.95,
-0.04,0.66,0.35,111.09,-44.24,
-0.09,0.70,0.34,111.51,-48.30,
-0.15,0.73,0.38,109.27,-55.72,
-0.14,0.76,0.38,112.56,-64.19,
-0.18,0.87,0.39,116.62,-73.01,
-0.16,0.92,0.39,119.63,-77.98,
-0.13,1.02,0.39,124.81,-84.35,
-0.09,1.09,0.38,128.59,-91.77,
-0.04,1.11,0.40,125.72,-97.93,
-0.01,1.06,0.39,122.50,-105.56,
0.10,1.05,0.41,119.21,-107.52,
0.12,1.01,0.41,113.75,-110.39,
0.16,0.99,0.40,103.67,-109.06,
0.18,0.93,0.37,98.84,-105.63,
0.21,0.92,0.34,94.43,-99.47,
0.19,0.88,0.29,93.52,-94.29,
0.18,0.88,0.28,91.91,-84.35,
0.15,0.89,0.27,86.66,-77.21,
0.11,0.90,0.25,82.81,-70.63,
0.08,0.89,0.21,80.64,-64.47,
0.08,0.88,0.17,81.97,-57.75,
0.08,0.86,0.20,79.38,-47.32,
0.08,0.80,0.16,78.96,-36.75,
0.05,0.78,0.17,80.78,-30.45,
0.06,0.78,0.19,78.68,-27.65,
0.04,0.75,0.21,73.92,-25.69,
0.05,0.78,0.23,70.07,-25.97,
0.01,0.76,0.25,68.60,-24.29,
-0.02,0.79,0.25,68.67,-23.59,
-0.13,0.81,0.22,66.85,-28.28,
-0.17,0.86,0.21,63.14,-42.84,
-0.19,0.89,0.21,51.17,-56.49,
-0.19,0.91,0.22,41.16,-71.68,
-0.17,0.94,0.22,29.33,-84.42,
-0.11,0.93,0.19,21.07,-90.23,
-0.02,0.95,0.18,10.71,-90.30,
0.12,0.94,0.19,3.29,-79.38,
0.20,0.98,0.19,0.00,-68.25,
0.23,0.98,0.22,2.17,-53.83,
0.25,1.02,0.37,7.56,-38.57,
0.23,1.08,0.26,13.93,5.88-30.73,
0.22,1.16,0.25,19.25,8.26-25.90,
0.19,1.22,0.24,17.29,4.27-19.67,
0.20,1.22,0.26,12.67,-18.27,
0.19,1.22,0.28,6.30,-20.02,
0.14,1.22,0.27,2.38,-19.60,
0.08,1.23,0.27,-1.12,-18.62,
0.03,1.23,0.27,-6.02,-16.24,
0.01,1.22,0.25,-11.76,-13.02,
-0.02,1.21,0.23,-16.17,-9.10,
-0.04,1.24,0.20,-18.27,-8.61,
-0.07,1.33,0.14,-20.65,-9.73,
-0.13,1.45,0.10,-25.41,-13.02,
-0.16,1.48,0.17,-26.67,-15.19,
-0.16,1.57,0.24,-27.37,-17.152.38,
-0.18,1.55,0.30,-26.32,-17.154.62,
-0.17,1.51,0.35,-28.42,-13.374.69,
-0.18,1.43,0.39,-37.03,-8.123.50,
-0.19,1.36,0.43,-48.51,-3.853.22,
-0.17,1.27,0.43,-64.26,-1.054.27,
-0.13,1.18,0.42,-83.51,1.335.67,
-0.09,1.05,0.43,-102.55,4.557.07,
-0.06,0.95,0.47,-117.46,8.268.96,
-0.02,0.90,0.50,-130.62,10.2213.44,
0.01,0.88,0.51,-148.89,10.7120.37,
0.04,0.92,0.52,-161.42,10.1529.12,
0.04,0.98,0.48,-172.90,8.1238.85,
0.03,1.03,0.46,-182.35,2.7351.17,
-0.01,1.03,0.46,-185.15,-6.5160.55,
-0.05,1.04,0.46,-178.43,-18.5568.67,
-0.06,1.04,0.48,-167.37,-25.9074.83,
-0.07,0.99,0.50,-155.61,-28.4979.03,
-0.02,0.93,0.52,-141.19,-24.0182.67,
-0.02,0.95,0.47,-124.39,-17.6480.22,
0.04,0.83,0.41,-99.68,-9.1778.75,
0.04,0.83,0.35,-79.59,0.1476.72,
0.03,0.79,0.39,-69.93,7.1473.43,
0.07,0.78,0.47,-62.44,19.2571.75,
-0.02,0.73,0.59,-63.91,32.0668.67,
-0.03,0.77,0.62,-74.69,47.9564.40,
-0.08,0.81,0.49,-94.01,56.0058.66,
-0.07,0.77,0.46,-114.66,57.1954.32,
-0.06,0.72,0.53,-127.75,51.1053.41,
-0.02,0.74,0.59,-132.86,40.4655.51,
-0.03,0.71,0.58,-140.70,26.6060.48,
-0.05,0.62,0.49,-143.92,23.3862.93,
-0.11,0.47,0.39,-140.56,30.8059.01,
-0.11,0.34,0.33,-118.65,39.7654.32,
-0.11,0.30,0.32,-91.42,44.8751.03,
-0.02,0.29,0.34,-62.65,43.1952.57,
-0.10,1.34,0.45,-74.41,42.8491.28,
-0.05,0.23,0.40,-86.94,22.4088.62,
-0.10,0.19,0.48,-80.29,15.3383.93,
-0.07,0.28,0.48,-86.03,16.5975.11,
-0.08,0.24,0.49,-94.01,21.5670.42,
-0.06,0.22,0.54,-95.55,27.5163.21,
-0.07,0.17,0.55,-91.91,32.7653.90,
-0.05,0.09,0.53,-77.56,34.7248.44,
-0.07,-0.02,0.57,-49.14,33.0445.50,
-0.03,0.06,0.61,-23.73,29.6140.95,
0.02,0.14,0.67,0.07,21.4935.49,
0.03,0.23,0.71,15.05,8.2628.63,
0.09,0.27,0.79,21.63,0.1421.98,
0.16,0.23,0.89,32.83,-2.2416.45,
0.21,0.24,0.95,44.17,-0.9111.62,
0.25,0.25,0.96,57.68,1.686.16,
0.25,0.25,0.97,73.71,3.29-2.38,
0.23,0.28,0.91,89.53,2.38-12.25,
0.15,0.35,0.85,101.99,-22.61,
0.19,0.59,0.82,93.80,-19.95,
0.10,0.54,0.77,119.07,-15.474.97,
0.03,0.47,1.11,125.86,-14.9114.84,
-0.12,0.87,1.33,78.40,-17.2915.12,
-0.31,1.05,1.10,65.73,-13.09,
-0.45,1.49,1.13,89.95,33.67-33.74,
-0.39,1.62,1.00,109.13,20.44-42.77,
-0.34,1.49,0.83,102.34,15.89-46.27,
-0.11,1.29,0.66,88.27,16.31-38.78,
-0.04,0.87,0.61,87.85,16.80-33.88,
-0.02,0.55,0.49,96.25,11.76-33.95,
-0.02,0.54,0.43,102.06,7.14-34.58,
-0.03,0.48,0.37,99.26,-38.43,
0.00,0.59,0.38,95.62,-45.15,
-0.02,0.63,0.38,92.12,-46.90,
-0.04,0.71,0.39,89.25,-46.62,
-0.11,0.77,0.42,85.05,-50.75,
-0.22,0.84,0.44,81.76,-61.11,
-0.27,0.94,0.46,81.76,-76.23,
-0.27,1.03,0.46,86.94,-88.62,
-0.22,1.15,0.44,103.95,-95.13,
-0.15,1.21,0.43,112.35,-96.67,
-0.08,1.13,0.41,116.69,-96.95,
0.01,1.06,0.38,118.65,-95.34,
0.11,0.88,0.35,121.94,-96.53,
0.22,0.85,0.33,126.14,-100.17,
0.25,0.77,0.29,127.54,-100.87,
0.30,0.77,0.27,130.06,-98.98,
0.32,0.85,0.32,123.06,-96.46,
0.33,0.90,0.31,111.44,-84.63,
0.24,0.90,0.25,108.22,-79.52,
0.21,0.96,0.22,105.21,-73.71,
0.13,0.98,0.21,98.77,-67.97,
0.08,0.98,0.22,85.12,-62.30,
0.07,0.93,0.25,81.13,-52.43,
0.04,0.89,0.28,77.14,-41.16,
-0.01,0.85,0.28,74.69,-28.35,
-0.02,0.81,0.25,70.84,2.17-19.60,
-0.03,0.80,0.25,63.21,6.79-18.83,
0.01,0.79,0.25,54.46,7.84-20.23,
0.00,0.77,0.23,45.78,6.37-21.49,
-0.03,0.72,0.22,43.12,0.35-19.46,
0.00,0.69,0.24,44.59,-21.98,
-0.05,0.69,0.24,48.16,-21.42,
-0.09,0.78,0.23,53.41,-28.63,
-0.16,0.83,0.19,53.55,-38.57,
-0.16,0.92,0.18,48.93,-52.85,
-0.14,0.96,0.19,39.27,-68.39,
-0.05,0.92,0.22,32.83,-69.65,
0.01,0.95,0.24,26.74,-68.95,
0.11,0.98,0.26,18.90,-59.64,
0.18,1.02,0.25,13.23,-46.20,
0.20,1.06,0.24,6.51,-35.00,
0.20,1.09,0.24,2.10,-28.28,
0.20,1.12,0.23,3.71,1.40-22.54,
0.19,1.14,0.24,4.76,5.46-20.23,
0.19,1.15,0.24,5.95,7.98-17.29,
0.18,1.11,0.23,8.12,7.49-14.14,
0.15,1.08,0.23,10.36,4.69-10.15,
0.11,1.06,0.25,13.65,1.89-7.42,
0.06,1.06,0.26,18.41,1.26-7.00,
0.02,1.11,0.27,21.21,2.24-8.47,
-0.02,1.21,0.29,20.23,3.50-11.69,
-0.04,1.31,0.31,14.14,4.27-14.14,
-0.07,1.41,0.33,3.99,4.90-16.87,
-0.06,1.53,0.26,-9.45,4.90-16.03,
-0.06,1.58,0.20,-36.89,5.11-11.41,
-0.09,1.55,0.20,-53.06,6.51-3.01,
-0.10,1.48,0.27,-54.25,9.106.09,
-0.15,1.44,0.32,-50.26,8.9613.58,
-0.18,1.41,0.36,-46.97,5.8115.12,
-0.22,1.37,0.39,-50.54,3.9217.22,
-0.24,1.31,0.37,-69.58,1.3321.21,
-0.22,1.23,0.36,-89.32,-0.9823.66,
-0.16,1.11,0.40,-105.91,0.7725.62,
-0.08,1.00,0.45,-116.76,6.3727.58,
-0.02,0.95,0.52,-127.82,12.3230.59,
0.01,0.97,0.57,-142.31,18.1334.02,
0.07,0.99,0.57,-155.47,22.0537.52,
0.09,1.00,0.51,-168.77,21.1442.77,
0.11,0.98,0.46,-174.16,16.1751.59,
0.06,0.99,0.43,-169.89,9.5261.60,
0.02,1.01,0.42,-162.26,4.3470.07,
-0.04,1.00,0.41,-153.93,1.1974.69,
-0.11,0.99,0.41,-145.95,0.7075.67,
-0.11,0.88,0.40,-128.66,4.6974.55,
-0.11,0.83,0.38,-107.73,12.1171.75,
-0.13,0.81,0.41,-95.20,16.8066.36,
-0.14,0.75,0.42,-81.69,20.6562.09,
-0.13,0.74,0.42,-70.56,22.2658.94,
-0.11,0.75,0.46,-62.44,22.1956.49,
-0.08,0.79,0.50,-57.82,16.8757.12,
-0.02,0.81,0.54,-55.37,10.9260.34,
0.00,0.83,0.59,-58.45,8.8263.49,
0.01,0.85,0.63,-69.93,8.1264.47,
0.05,0.88,0.66,-87.85,10.2266.57,
0.04,0.77,0.62,-107.17,14.5667.90,
0.02,0.67,0.54,-117.67,21.9869.16,
0.02,0.60,0.46,-119.07,33.8169.16,
-0.06,0.58,0.41,-107.87,41.7968.60,
-0.04,0.55,0.37,-96.18,46.9067.13,
-0.11,0.51,0.32,-86.87,52.5065.31,
-0.13,0.46,0.32,-76.37,55.5857.54,
-0.14,0.47,0.33,-67.41,56.7047.88,
-0.10,0.44,0.38,-60.48,51.1042.56,
-0.10,0.43,0.41,-59.15,42.7739.76,
-0.11,0.40,0.43,-69.02,33.5339.62,
-0.08,0.94,0.43,-81.13,37.4559.01,
-0.04,0.18,0.46,-108.85,22.9662.23,
-0.15,0.21,0.48,-92.33,24.2258.94,
-0.18,0.25,0.51,-83.02,29.9649.91,
-0.14,0.19,0.52,-75.53,32.6244.52,
-0.09,0.17,0.53,-60.41,35.0038.01,
-0.05,0.16,0.55,-45.92,31.7131.50,
-0.04,0.13,0.57,-30.80,22.0525.69,
0.01,0.18,0.60,-15.89,12.3918.13,
0.02,0.18,0.68,2.38,1.1212.95,
0.02,0.21,0.77,25.48,-3.996.16,
0.02,0.25,0.85,45.22,-11.48,
0.07,0.28,0.90,57.96,-26.25,
0.14,0.30,0.93,70.14,-37.31,
0.17,0.38,0.90,80.36,-44.87,
0.15,0.61,0.87,72.31,-45.08,
0.15,0.59,0.77,92.61,-38.50,
0.15,0.39,0.86,113.40,-35.07,
0.00,0.57,1.23,110.18,-34.86,
-0.06,0.96,1.24,69.23,-35.28,
-0.24,1.22,1.25,78.89,-36.47,
-0.19,1.74,1.23,104.16,-42.98,
-0.15,1.77,1.13,106.96,-44.73,
-0.04,1.59,0.90,77.91,9.45-41.86,
0.02,1.04,0.71,71.89,18.34-34.37,
0.01,0.60,0.56,82.53,22.26-30.59,
0.04,0.43,0.41,90.23,21.70-27.72,
0.08,0.39,0.34,92.40,17.22-28.84,
0.06,0.38,0.34,93.38,12.18-31.43,
0.02,0.43,0.35,94.92,3.85-29.89,
-0.01,0.52,0.35,94.15,-30.94,
-0.08,0.56,0.36,97.93,-38.01,
-0.15,0.66,0.41,99.96,-46.55,
-0.23,0.81,0.46,99.96,-57.75,
-0.26,0.97,0.45,102.55,-70.28,
-0.24,1.15,0.44,111.23,-94.22,
-0.18,1.24,0.41,119.91,-83.37,
-0.06,1.22,0.43,126.07,-85.19,
0.04,1.18,0.42,126.84,-84.21,
0.07,1.10,0.40,122.57,-87.92,
0.14,0.96,0.40,120.96,-89.18,
0.17,0.87,0.34,115.57,-90.86,
0.16,0.83,0.30,115.85,-98.00,
0.20,0.86,0.30,115.29,-97.09,
0.18,0.86,0.30,104.30,-90.23,
0.19,0.89,0.29,98.00,-83.65,
0.15,0.90,0.26,91.98,-77.00,
0.10,0.88,0.24,85.05,-70.42,
0.04,0.91,0.22,81.06,-50.19,
0.01,0.89,0.25,80.71,-61.95,
0.00,0.88,0.26,77.91,-53.27,
-0.03,0.83,0.26,74.69,-45.64,
-0.01,0.82,0.23,70.63,-38.01,
0.03,0.81,0.19,66.15,-30.52,
0.03,0.78,0.16,64.47,-27.79,
-0.01,0.74,0.16,63.14,-31.01,
0.01,0.76,0.20,62.72,-34.44,
-0.03,0.75,0.18,64.89,-40.18,
0.01,0.76,0.20,66.43,-38.29,
-0.04,0.79,0.17,69.79,-42.14,
-0.09,0.85,0.17,67.41,-53.97,
-0.11,0.90,0.20,58.45,-64.54,
-0.10,0.91,0.22,47.11,-75.95,
-0.09,0.92,0.20,31.15,-81.20,
-0.01,0.91,0.19,20.51,-80.50,
0.09,0.92,0.21,14.49,-72.52,
0.16,0.93,0.22,10.43,-59.57,
